NSeq, I1, I2, O1, O2, AI3
0, 0, 0, 0, 0, 594
1, 0, 0, 0, 0, 592
2, 0, 0, 0, 0, 521
3, 0, 0, 0, 0, 523
4, 0, 0, 0, 0, 448
5, 0, 0, 0, 0, 447
6, 0, 0, 0, 0, 381
7, 0, 0, 0, 0, 385
8, 0, 0, 0, 0, 320
9, 0, 0, 0, 0, 311
10, 0, 0, 0, 0, 267
11, 0, 0, 0, 0, 266
12, 0, 0, 0, 0, 208
13, 0, 0, 0, 0, 212
14, 0, 0, 0, 0, 164
15, 0, 0, 0, 0, 170
0, 0, 0, 0, 0, 130
1, 0, 0, 0, 0, 128
2, 0, 0, 0, 0, 98
3, 0, 0, 0, 0, 86
4, 0, 0, 0, 0, 64
5, 0, 0, 0, 0, 61
6, 0, 0, 0, 0, 48
7, 0, 0, 0, 0, 47
8, 0, 0, 0, 0, 25
9, 0, 0, 0, 0, 30
10, 0, 0, 0, 0, 16
11, 0, 0, 0, 0, 16
12, 0, 0, 0, 0, 16
13, 0, 0, 0, 0, 13
14, 0, 0, 0, 0, 15
15, 0, 0, 0, 0, 16
0, 0, 0, 0, 0, 29
1, 0, 0, 0, 0, 29
2, 0, 0, 0, 0, 42
3, 0, 0, 0, 0, 48
4, 0, 0, 0, 0, 66
5, 0, 0, 0, 0, 65
6, 0, 0, 0, 0, 99
7, 0, 0, 0, 0, 89
8, 0, 0, 0, 0, 126
9, 0, 0, 0, 0, 125
10, 0, 0, 0, 0, 168
11, 0, 0, 0, 0, 167
12, 0, 0, 0, 0, 214
13, 0, 0, 0, 0, 207
14, 0, 0, 0, 0, 271
15, 0, 0, 0, 0, 264
0, 0, 0, 0, 0, 317
1, 0, 0, 0, 0, 318
2, 0, 0, 0, 0, 379
3, 0, 0, 0, 0, 384
4, 0, 0, 0, 0, 449
5, 0, 0, 0, 0, 450
6, 0, 0, 0, 0, 523
7, 0, 0, 0, 0, 528
8, 0, 0, 0, 0, 592
9, 0, 0, 0, 0, 592
10, 0, 0, 0, 0, 674
11, 0, 0, 0, 0, 679
12, 0, 0, 0, 0, 767
13, 0, 0, 0, 0, 759
14, 0, 0, 0, 0, 848
15, 0, 0, 0, 0, 848
0, 0, 0, 0, 0, 935
1, 0, 0, 0, 0, 934
2, 0, 0, 0, 0, 1039
3, 0, 0, 0, 0, 1035
4, 0, 0, 0, 0, 1131
5, 0, 0, 0, 0, 1134
6, 0, 0, 0, 0, 1227
7, 0, 0, 0, 0, 1232
8, 0, 0, 0, 0, 1330
9, 0, 0, 0, 0, 1328
10, 0, 0, 0, 0, 1434
11, 0, 0, 0, 0, 1435
12, 0, 0, 0, 0, 1543
13, 0, 0, 0, 0, 1535
14, 0, 0, 0, 0, 1647
15, 0, 0, 0, 0, 1643
0, 0, 0, 0, 0, 1744
1, 0, 0, 0, 0, 1744
2, 0, 0, 0, 0, 1841
3, 0, 0, 0, 0, 1843
